[connect multimeasure block] imcoh/delta times 40/81
[connect multimeasure block] imcoh/delta times 50/81
[connect multimeasure block] imcoh/delta times 60/81
[connect multimeasure block] imcoh/delta times 70/81
[connect multimeasure block] imcoh/delta times 80/81
[connect multimeasure block] imcoh/theta times 10/81
[connect multimeasure block] imcoh/theta times 20/81
[connect multimeasure block] imcoh/theta times 30/81
[connect multimeasure block] imcoh/theta times 40/81
[connect multimeasure block] imcoh/theta times 50/81
[connect multimeasure block] imcoh/theta times 60/81
[connect multimeasure block] imcoh/theta times 70/81
[connect multimeasure block] imcoh/theta times 80/81
[connect multimeasure block] pli/alpha times 10/81
[connect multimeasure block] pli/alpha times 20/81
[connect multimeasure block] pli/alpha times 30/81
[connect multimeasure block] pli/alpha times 40/81
[connect multimeasure block] pli/alpha times 50/81
[connect multimeasure block] pli/alpha times 60/81
[connect multimeasure block] pli/alpha times 70/81
[connect multimeasure block] pli/alpha times 80/81
[connect multimeasure block] pli/broadband times 10/81
[connect multimeasure block] pli/broadband times 20/81
[connect multimeasure block] pli/broadband times 30/81
[connect multimeasure block] pli/broadband times 40/81
[connect multimeasure block] pli/broadband times 50/81
[connect multimeasure block] pli/broadband times 60/81
[connect multimeasure block] pli/broadband times 70/81
[connect multimeasure block] pli/broadband times 80/81
[connect multimeasure block] pli/delta times 10/81
[connect multimeasure block] pli/delta times 20/81
[connect multimeasure block] pli/delta times 30/81
[connect multimeasure block] pli/delta times 40/81
[connect multimeasure block] pli/delta times 50/81
[connect multimeasure block] pli/delta times 60/81
[connect multimeasure block] pli/delta times 70/81
[connect multimeasure block] pli/delta times 80/81
[connect multimeasure block] pli/theta times 10/81
[connect multimeasure block] pli/theta times 20/81
[connect multimeasure block] pli/theta times 30/81
[connect multimeasure block] pli/theta times 40/81
[connect multimeasure block] pli/theta times 50/81
[connect multimeasure block] pli/theta times 60/81
[connect multimeasure block] pli/theta times 70/81
[connect multimeasure block] pli/theta times 80/81
[connect multimeasure block] plv/alpha times 10/81
[connect multimeasure block] plv/alpha times 20/81
[connect multimeasure block] plv/alpha times 30/81
[connect multimeasure block] plv/alpha times 40/81
[connect multimeasure block] plv/alpha times 50/81
[connect multimeasure block] plv/alpha times 60/81
[connect multimeasure block] plv/alpha times 70/81
[connect multimeasure block] plv/alpha times 80/81
[connect multimeasure block] plv/broadband times 10/81
[connect multimeasure block] plv/broadband times 20/81
[connect multimeasure block] plv/broadband times 30/81
[connect multimeasure block] plv/broadband times 40/81
[connect multimeasure block] plv/broadband times 50/81
[connect multimeasure block] plv/broadband times 60/81
[connect multimeasure block] plv/broadband times 70/81
[connect multimeasure block] plv/broadband times 80/81
[connect multimeasure block] plv/delta times 10/81
[connect multimeasure block] plv/delta times 20/81
[connect multimeasure block] plv/delta times 30/81
[connect multimeasure block] plv/delta times 40/81
[connect multimeasure block] plv/delta times 50/81
[connect multimeasure block] plv/delta times 60/81
[connect multimeasure block] plv/delta times 70/81
[connect multimeasure block] plv/delta times 80/81
[connect multimeasure block] plv/theta times 10/81
[connect multimeasure block] plv/theta times 20/81
[connect multimeasure block] plv/theta times 30/81
[connect multimeasure block] plv/theta times 40/81
[connect multimeasure block] plv/theta times 50/81
[connect multimeasure block] plv/theta times 60/81
[connect multimeasure block] plv/theta times 70/81
[connect multimeasure block] plv/theta times 80/81
[connect multimeasure block] wpli/alpha times 10/81
[connect multimeasure block] wpli/alpha times 20/81
[connect multimeasure block] wpli/alpha times 30/81
[connect multimeasure block] wpli/alpha times 40/81
[connect multimeasure block] wpli/alpha times 50/81
[connect multimeasure block] wpli/alpha times 60/81
[connect multimeasure block] wpli/alpha times 70/81
[connect multimeasure block] wpli/alpha times 80/81
[connect multimeasure block] wpli/broadband times 10/81
[connect multimeasure block] wpli/broadband times 20/81
[connect multimeasure block] wpli/broadband times 30/81
[connect multimeasure block] wpli/broadband times 40/81
